,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Population: Growth Rate,Economics: GDP
1992-01-01,0.029,0.0,0.286,0.097,0.469,0.212,2.759598695835087,1692959110.18022
1993-01-01,0.03,0.0,0.31,0.097,0.595,0.315,2.759598695835087,1233496846.33493
1994-01-01,0.039,0.0,0.315,0.097,0.518,0.242,2.685489950192774,982624324.505898
1995-01-01,0.032,0.0,0.31,0.097,0.622,0.344,2.6152574735684277,1309382885.33029
1996-01-01,0.032,0.0,0.35,0.097,0.601,0.283,2.5486048936163948,1465448290.34132
1997-01-01,0.031,0.0,0.35,0.097,0.509,0.19,2.4852653005472956,1498950899.08774
1998-01-01,0.03,0.0,0.426,0.097,0.68,0.284,2.4249976747965194,1587345950.9743
1999-01-01,0.019,0.0,0.4,0.092,0.663,0.282,2.367583822160255,1576672791.65481
2000-01-01,0.036,0.0,0.282,0.092,0.416,0.17,2.3128257342415917,1491891107.95711
2001-01-01,0.0823,0.0,0.3797,0.092,0.4164,0.119,3.122621946531923,1482437752.05739
2002-01-01,0.0774,0.0,0.3307,0.0481,0.4003,0.147,3.0280668660179844,1706698099.44513
2003-01-01,0.0876,0.0,0.3438,0.0481,0.4282,0.172,2.939069865258958,2115836353.1204
2004-01-01,0.087,0.0,0.4087,0.0531,0.5007,0.179,2.8551548689006263,2259992642.29014
2005-01-01,0.102,0.0,0.442,0.0531,0.521,0.181,2.77589866306634,2281482855.46518
2006-01-01,0.1012,0.0,0.3989,0.1351,0.5067,0.209,2.7009237566159956,2351584608.41123
2007-01-01,0.1207,0.0,0.4757,0.1551,0.53436,0.17936,2.629892368852234,2662612348.44099
2008-01-01,0.1335,0.0,0.5833,0.1551,0.568,0.1182,2.562501341617305,3323677130.04484
2009-01-01,0.1381,0.0,0.6154,0.1551,0.6153,0.138,2.498477814110707,3379258564.97242
2010-01-01,0.1616,0.0,0.6277,0.1552,0.63548,0.16938,2.437575530284361,3429461495.41335
2011-01-01,0.1626,0.0,0.6958,0.1654,0.65478,0.12158,2.743134168358855,3872459249.74631
2012-01-01,0.1642,0.0,0.6793,0.1955,0.61978,0.10468,2.669895356573267,3873308389.30006
2013-01-01,0.1831,0.0,0.7733,0.1956,0.68319,0.09299,2.6004656450663703,4321655656.33177
2014-01-01,0.1856,0.0,0.8569,0.1962,0.87382,0.20252,2.5345554025674177,4574986536.90791
2015-01-01,0.1838,0.0,0.8573,0.1974,1.04684,0.37334,2.471903635429382,4180866177.03946
2016-01-01,0.1884,0.0,0.4478,0.195,0.69184,0.43244,2.5941958957767812,6031632168.17391
2017-01-01,0.121,0.104,0.7466,0.196,1.2919,0.7703,2.5285990821665667,6395472574.41445
2018-01-01,0.197,0.192,0.882,0.1961,1.06282,0.56982,2.4662378154022484,7112200725.00232
2019-01-01,0.209503,0.0,0.963004,0.1971,1.454061,0.70056,2.4068784684427507,7220395247.7424
2020-01-01,0.2,0.0,0.815,0.2143,1.203150458,0.588150458,2.3503093780799533,7574636978.66173
2021-01-01,0.2,0.0,0.815,0.2643,1.240065047,0.625065047,2.4051830127757157,7574636978.66173
