,Electricity: Distribution Losses_lag1,Electricity: Installed Capacity_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Installed Capacity_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Installed Capacity_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Installed Capacity_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Installed Capacity_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
1997-01-01,0.047,0.1655,0.2211546726517447,2363645403.47039,0.05,0.153,0.2216448505955175,2216974096.35559,0.044,0.153,0.2221372062744817,2151344901.30761,0.044,0.153,0.2226317542336273,2063342117.03873,0.032,0.153,0.2226317542336273,1957000000.0,0.051,0.165,0.2206666580265124,2498384129.66738
1998-01-01,0.051,0.165,0.2206666580265124,2498384129.66738,0.047,0.1655,0.2211546726517447,2363645403.47039,0.05,0.153,0.2216448505955175,2216974096.35559,0.044,0.153,0.2221372062744817,2151344901.30761,0.044,0.153,0.2226317542336273,2063342117.03873,0.057,0.1655,0.2201807924302624,2817083478.34734
1999-01-01,0.057,0.1655,0.2201807924302624,2817083478.34734,0.051,0.165,0.2206666580265124,2498384129.66738,0.047,0.1655,0.2211546726517447,2363645403.47039,0.05,0.153,0.2216448505955175,2216974096.35559,0.044,0.153,0.2221372062744817,2151344901.30761,0.056,0.1655,0.2196970616988457,2951822204.54432
2000-01-01,0.056,0.1655,0.2196970616988457,2951822204.54432,0.057,0.1655,0.2201807924302624,2817083478.34734,0.051,0.165,0.2206666580265124,2498384129.66738,0.047,0.1655,0.2211546726517447,2363645403.47039,0.05,0.153,0.2216448505955175,2216974096.35559,0.055,0.186,0.2192154517924899,3059500000.0
2001-01-01,0.055,0.186,0.2192154517924899,3059500000.0,0.056,0.1655,0.2196970616988457,2951822204.54432,0.057,0.1655,0.2201807924302624,2817083478.34734,0.051,0.165,0.2206666580265124,2498384129.66738,0.047,0.1655,0.2211546726517447,2363645403.47039,0.061,0.19,0.3798879304156033,3054500000.0
2002-01-01,0.061,0.19,0.3798879304156033,3054500000.0,0.055,0.186,0.2192154517924899,3059500000.0,0.056,0.1655,0.2196970616988457,2951822204.54432,0.057,0.1655,0.2201807924302624,2817083478.34734,0.051,0.165,0.2206666580265124,2498384129.66738,0.057,0.2095,0.3784502436174501,3106500000.0
2003-01-01,0.057,0.2095,0.3784502436174501,3106500000.0,0.061,0.19,0.3798879304156033,3054500000.0,0.055,0.186,0.2192154517924899,3059500000.0,0.056,0.1655,0.2196970616988457,2951822204.54432,0.057,0.1655,0.2201807924302624,2817083478.34734,0.058,0.2095,0.3770233976505687,3209500000.0
2004-01-01,0.058,0.2095,0.3770233976505687,3209500000.0,0.057,0.2095,0.3784502436174501,3106500000.0,0.061,0.19,0.3798879304156033,3054500000.0,0.055,0.186,0.2192154517924899,3059500000.0,0.056,0.1655,0.2196970616988457,2951822204.54432,0.06,0.2095,0.3756072703580205,3444500000.0
2005-01-01,0.06,0.2095,0.3756072703580205,3444500000.0,0.058,0.2095,0.3770233976505687,3209500000.0,0.057,0.2095,0.3784502436174501,3106500000.0,0.061,0.19,0.3798879304156033,3054500000.0,0.055,0.186,0.2192154517924899,3059500000.0,0.062,0.2391,0.3742017414114944,3819500000.0
2006-01-01,0.062,0.2391,0.3742017414114944,3819500000.0,0.06,0.2095,0.3756072703580205,3444500000.0,0.058,0.2095,0.3770233976505687,3209500000.0,0.057,0.2095,0.3784502436174501,3106500000.0,0.061,0.19,0.3798879304156033,3054500000.0,0.063,0.2391,0.3728066922768956,4217500000.0
2007-01-01,0.063,0.2391,0.3728066922768956,4217500000.0,0.062,0.2391,0.3742017414114944,3819500000.0,0.06,0.2095,0.3756072703580205,3444500000.0,0.058,0.2095,0.3770233976505687,3209500000.0,0.057,0.2095,0.3784502436174501,3106500000.0,0.065,0.2401,0.3714220061812413,4674000000.0
2008-01-01,0.065,0.2401,0.3714220061812413,4674000000.0,0.063,0.2391,0.3728066922768956,4217500000.0,0.062,0.2391,0.3742017414114944,3819500000.0,0.06,0.2095,0.3756072703580205,3444500000.0,0.058,0.2095,0.3770233976505687,3209500000.0,0.043,0.2401,0.3700475680800749,4785000000.0
2009-01-01,0.043,0.2401,0.3700475680800749,4785000000.0,0.065,0.2401,0.3714220061812413,4674000000.0,0.063,0.2391,0.3728066922768956,4217500000.0,0.062,0.2391,0.3742017414114944,3819500000.0,0.06,0.2095,0.3756072703580205,3444500000.0,0.045,0.2401,0.368683264625389,4465500000.0
2010-01-01,0.045,0.2401,0.368683264625389,4465500000.0,0.043,0.2401,0.3700475680800749,4785000000.0,0.065,0.2401,0.3714220061812413,4674000000.0,0.063,0.2391,0.3728066922768956,4217500000.0,0.062,0.2391,0.3742017414114944,3819500000.0,0.051,0.24,0.3673289841347869,4530000000.0
2011-01-01,0.051,0.24,0.3673289841347869,4530000000.0,0.045,0.2401,0.368683264625389,4465500000.0,0.043,0.2401,0.3700475680800749,4785000000.0,0.065,0.2401,0.3714220061812413,4674000000.0,0.063,0.2391,0.3728066922768956,4217500000.0,0.068,0.241,0.2454943558867403,4657500000.0
2012-01-01,0.068,0.241,0.2454943558867403,4657500000.0,0.051,0.24,0.3673289841347869,4530000000.0,0.045,0.2401,0.368683264625389,4465500000.0,0.043,0.2401,0.3700475680800749,4785000000.0,0.065,0.2401,0.3714220061812413,4674000000.0,0.043,0.241,0.2448931570083108,4610000000.0
2013-01-01,0.043,0.241,0.2448931570083108,4610000000.0,0.068,0.241,0.2454943558867403,4657500000.0,0.051,0.24,0.3673289841347869,4530000000.0,0.045,0.2401,0.368683264625389,4465500000.0,0.043,0.2401,0.3700475680800749,4785000000.0,0.043,0.242,0.2442948955262676,4677000000.0
