,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Economics: GDP
1992-01-01,0.439,0.736,1.726,3535460089.80719
1993-01-01,0.0,1.186,3.592,5440064773.17365
1994-01-01,0.518,1.186,4.005,5452564385.43307
1995-01-01,0.632,1.186,4.856,6577523824.70029
1996-01-01,0.653,1.186,5.035,7393883554.77969
1997-01-01,0.676,1.293,5.217,8400033893.99653
1998-01-01,0.642,1.2921,5.461,8787195622.43502
1999-01-01,0.649,1.2921,5.576,8887061866.89206
2000-01-01,0.622,1.467,5.59972,9005064474.93003
2001-01-01,0.564,1.3811,5.70034,9194717835.99985
2002-01-01,0.618,1.42822,5.90646,9719017925.92929
2003-01-01,0.62,1.1326,6.10512,9430230564.4699
2004-01-01,0.731,1.1936,6.0641,10174664853.9476
2005-01-01,0.854,1.19159,6.13496,11243868485.7428
2006-01-01,0.94,1.192,6.0981,11930171468.3796
2007-01-01,0.662,1.192,4.941,12799593017.7101
2008-01-01,1.007,0.8439,2.988,13709402085.3206
2009-01-01,0.981,0.8469,3.072,12120460872.8003
2010-01-01,0.902,0.8689,3.06972,13220556882.7046
2011-01-01,0.961,0.8699,3.0539,14444655299.8772
2012-01-01,1.033,0.9438,2.89462,14807086889.2099
2013-01-01,1.097,0.97713,2.82736,14264202737.3082
2014-01-01,1.103,0.97913,2.79684,13899228824.2161
2015-01-01,1.103,0.97913,2.79872,14188935947.5694
2016-01-01,1.16,1.06013,2.97046,14077109396.8584
2017-01-01,1.152,1.08813,2.95898,14808989993.3185
2018-01-01,1.144,1.09113,3.025854,15730793852.7913
2019-01-01,1.149,1.21613,3.092992,15830768549.8916
2020-01-01,1.149,1.21613,2.924336786,13812425036.5864
2021-01-01,1.146714347,1.21613,3.19920181,13812425036.5864
